trans_num,category,amt,gender,state,zip,lat,long,city_pop,job,unix_time,merch_lat,merch_long,trans_date,age,is_fraud
16bf2e46c54369a8eab2214649506425,health_fitness,24.84,F,TX,79759,31.8599,-102.7413,23,Cytogeneticist,1371852399,32.575873,-102.60429,20200621,52,1
ab4b379d2c0c9c667d46508d4e126d72,misc_net,780.52,M,WI,53803,42.5545,-90.3508,1306,Public relations officer,1371853942,42.461127,-91.147148,20200621,63,1
47a9987ae81d99f7832a54b29a77bf4b,entertainment,620.33,M,WI,53803,42.5545,-90.3508,1306,Public relations officer,1371854247,42.771834,-90.158365,20200621,63,1
fe956c7e4a253c437c18918bf96f7b62,shopping_net,1077.69,M,LA,70726,30.459,-90.9027,71335,Herbalist,1371854335,31.204974,-90.261595,20200621,27,1
f6838c01f5d2262006e6b71d33ba7c6d,shopping_pos,842.65,F,TX,79759,31.8599,-102.7413,23,Cytogeneticist,1371855736,31.315782,-102.73639,20200621,52,1
0bac42920027f9b7b3d328bda2709983,health_fitness,22.55,F,FL,32960,27.633,-80.4031,105638,"Librarian, public",1371856572,28.396402,-80.819469,20200621,35,1
eb388ceabaf56474808664772b2d5853,shopping_net,1128.26,M,LA,70726,30.459,-90.9027,71335,Herbalist,1371856904,30.354797,-91.146131,20200621,27,1
aff46f2741b3501d32b447f842618666,shopping_net,931.82,M,LA,70726,30.459,-90.9027,71335,Herbalist,1371857727,30.761363,-91.7136,20200621,27,1
8cabf98e58e2b29f7684362fea1f026c,shopping_net,983,M,LA,70726,30.459,-90.9027,71335,Herbalist,1371858026,29.902451,-91.749089,20200621,27,1
1799ffe421a2a05dc87903e379140f55,shopping_net,955.16,M,WI,53803,42.5545,-90.3508,1306,Public relations officer,1371859145,43.027879,-90.493768,20200621,63,1
720905fa777ec90291cfd002fd12d67f,misc_net,701.81,M,LA,70726,30.459,-90.9027,71335,Herbalist,1371859600,30.652786,-90.206798,20200622,27,1
5461e8c92d8b6512c620b2f943ff8ffa,misc_pos,8.39,F,FL,32960,27.633,-80.4031,105638,"Librarian, public",1371863882,27.059901,-80.32383,20200622,35,1
219c46c355f98b732d9a36818c5b8a88,grocery_pos,326.94,M,LA,70726,30.459,-90.9027,71335,Herbalist,1371864313,29.784597,-90.671894,20200622,27,1
7220be6f2a92f9c1056d2bcf46c986bd,grocery_pos,353.08,F,FL,32960,27.633,-80.4031,105638,"Librarian, public",1371866073,28.256217,-80.914551,20200622,35,1
2316b3d5045b9dcba383d5c27031ea4a,misc_net,868.48,M,LA,70726,30.459,-90.9027,71335,Herbalist,1371872315,30.283263,-90.606406,20200622,27,1
d40a602f3d62fc3849bacd25c413952b,grocery_net,13.25,F,FL,32960,27.633,-80.4031,105638,"Librarian, public",1371872900,27.874482,-80.381534,20200622,35,1
20ffa4abb3d483d9558c33640be75066,shopping_pos,777.45,F,FL,32960,27.633,-80.4031,105638,"Librarian, public",1371873336,27.913215,-80.423565,20200622,35,1
4ee010ce369915da173469857effcea5,shopping_net,967.86,F,FL,32960,27.633,-80.4031,105638,"Librarian, public",1371877105,28.218323,-80.97967,20200622,35,1
d6f6c02b96059201092cab8cef7ceabf,shopping_pos,825.81,M,LA,70726,30.459,-90.9027,71335,Herbalist,1371937865,29.477134,-90.715715,20200622,27,1
a965da9bc7daef7f526ce640d5c090ae,personal_care,21.92,F,FL,32960,27.633,-80.4031,105638,"Librarian, public",1371939613,27.339943,-81.199244,20200622,35,1
c3a4aa2a2242f932c576d974dae46a34,health_fitness,21.74,F,FL,32960,27.633,-80.4031,105638,"Librarian, public",1371942505,26.782874,-79.428065,20200622,35,1
217ca81136b86234abecc0ece6358f96,home,250.32,F,FL,32960,27.633,-80.4031,105638,"Librarian, public",1371944147,27.27806,-79.594618,20200622,35,1
6337ebf236753a68a2697295960a30b7,grocery_pos,315.45,M,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1372033605,42.385601,-79.023729,20200624,62,1
193eebbe720a3f04ab49e04ec2355902,grocery_pos,279.78,M,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1372034664,41.898108,-78.397992,20200624,62,1
a623c5c05b514e3d56ee333bd5565adc,grocery_pos,287.38,M,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1372042610,42.012741,-79.204228,20200624,62,1
e1cc0619cfe18299992638e7a19d5b3d,grocery_pos,276.4,M,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1372044116,43.042593,-79.052508,20200624,62,1
75ecf87a722ea6a87d1d0dbb72919412,gas_transport,7.82,M,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1372044820,41.864069,-79.633384,20200624,62,1
80275a9dbfd3b1a7a5a11bcaa000afab,misc_net,790.54,M,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1372111435,43.22957,-78.451208,20200624,62,1
16aee906e2a1167ab8c20770a5b7cf79,misc_net,723.23,M,NY,14141,42.52,-78.6847,7728,"Scientist, research (maths)",1372111631,41.673916,-78.922416,20200624,62,1
75365b9ba05a150f1751934da9b67d9b,personal_care,46.36,F,ME,4680,44.4971,-67.9503,1131,Make,1372112786,44.408786,-66.960745,20200624,62,1
